สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน
"ยังไม่เข้า","520004086561","B02250","สาขา ดงตาล (จอมเทียน)","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086563","B02257","สาขา สุภาพงษ์","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004086565","B02261","สาขา เพชรเกษม 65","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-09 03:35:47","2024-07-09 04:02:51"
"ยังไม่เข้า","520004086569","B02274","สาขา แจ้งวัฒนะ 15","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ตรงแผน","520004086573","B02303","สาขา สุขสมจิตต์","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","2024-07-09 15:54:04","2024-07-09 16:36:24"
"ยังไม่เข้า","520004086574","B02306","สาขา วงเวียนน้ำพุ (กาฬสินธุ์)","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086575","B02308","สาขา เอื้ออมรสุข (พระราม 4)","BS","BS3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086577","B02318","สาขา รังสิตคลอง 10","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086578","B02319","สาขา เทศบาลสัตหีบ","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004086579","B02322","สาขา ปตท.เฉลิมพระเกียรติ (ชอุ่ม)","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004086580","B02331","สาขา ตลาดทุ่งเจริญ","NEL","NEL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086581","B02334","สาขา ประดิพัทธ์ 10","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004086582","B02335","สาขา ชาญเวชกิจ","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 11:08:34","2024-07-09 12:19:52"
"ยังไม่เข้า","520004086584","B02337","สาขา PTTOR คลองหนองใหญ่","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004086585","B02339","สาขา ศรีโสธรตัดใหม่","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 12:55:48","2024-07-03 13:02:19"
"ตรงแผน","520004086589","B02350","สาขา ชายหาดพัทยากลาง","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 20:05:18","2024-07-02 20:43:41"
"ยังไม่เข้า","520004086590","B02356","สาขา สมบัติบุรี","BN","BN8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086592","B02358","สาขา เฉลิมพระเกียรติ ซอย 21","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004086597","B02368","สาขา ทะเลทอง","REU","REU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086600","B02372","สาขา บขส.กบินทร์บุรี","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086601","B02373","สาขา ปตท.ท่าถ่าน","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004086603","B02381","สาขา ดำรงรักษ์","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 23:23:53","2024-07-06 23:36:25"
"ยังไม่เข้า","520004086607","B02392","สาขา บ้านอ่าวนาง","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086608","B02402","สาขา PTTOR สุขุมวิทสายเก่า กม.28 (สมจิตร","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004086609","B02410","สาขา หลังมหาวิทยาลัยนเรศวร","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 10:58:10","2024-07-06 11:36:25"
"ยังไม่เข้า","520004086612","B02416","สาขา สุทธาวาส","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ตรงแผน","520004086614","B02426","สาขา นานาเหนือ (สุขุมวิท 3)","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-08 23:08:22","2024-07-08 23:48:07"
"กำลังเข้างาน","520004086618","B02441","สาขา จะนะ","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 11:01:55","2024-07-09 17:26:53"
"ยังไม่เข้า","520004086620","B02453","สาขา อนุมานราชธน","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086622","B02457","สาขา ประสานมิตร","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086624","B02464","สาขา สามเสน 18","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004086625","B02465","สาขา เมืองทองคอนโด จุด 5","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086626","B02474","สาขา ปตท.อุทัยธานี","RC","RC2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086627","B02475","สาขา เฉลิมพระเกียรติ 14","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004086631","B02493","สาขา สุขุมวิท 93(พึ่งมี 50)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-05 01:39:09","2024-07-05 02:43:41"
"ยังไม่เข้า","520004086633","B02499","สาขา ตลาดเอกเซ็นเตอร์","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086635","B02500","สาขา สถานีตำรวจอยุธยา","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086637","B02506","สาขา วิเชียรโชฎก","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004086638","B02509","สาขา หมู่บ้านเมืองประชา","BN","BN7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004086640","B02518","สาขา PTTOR ทางหลวงพิเศษชลบุรี (ขาเข้า)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086641","B02519","สาขา PTTOR ทางหลวงพิเศษชลบุรี (ขาออก)","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086643","B02526","สาขา สุทธิพร 2","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004086645","B02531","สาขา คลองนิล","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086646","B02536","สาขา เคหะแหลมฉบัง","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086648","B02542","สาขา พระแอะ","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086651","B02552","สาขา นิรันดร์เรสซิเดนท์ จุด 2","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004086653","B02554","สาขา แยกมไหสวรรย์","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086654","B02555","สาขา ปตท.ภาชี (อยุธยา)","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086655","B02556","สาขา ม.มหาสารคาม","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ตรงแผน","520004086656","B02562","สาขา เศรษฐกิจอ้อมน้อย","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 04:23:43","2024-07-06 04:42:23"
"ตรงแผน","520004086657","B02563","สาขา ธนาเพลสกิ่งแก้ว","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 22:38:37","2024-07-02 23:53:39"
"ยังไม่เข้า","520004086658","B02567","สาขา วิภาวดี 2/2","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ตรงแผน","520004086659","B02574","สาขา ม.นเรศวร (ประตู1)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 10:52:19","2024-07-04 11:53:33"
"ตรงแผน","520004086660","B02579","สาขา ศรีสยาม","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-04 00:43:16","2024-07-04 01:09:18"
"ยังไม่เข้า","520004086663","B02594","สาขา วังทอง","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ตรงแผน","520004086668","B02638","สาขา ชุมชนจันทร์ใน","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-02 14:22:35","2024-07-02 14:39:51"
"ตรงแผน","520004086669","B02652","สาขา คลองท่าเสา","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-04 01:50:54","2024-07-04 02:38:14"
"ยังไม่เข้า","520004086670","B02656","สาขา ปตท.สหกรณ์บางละมุง","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004086674","B02673","สาขา บางม่วง-บางคูลัดสาย 1","BG","BG7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-05 01:45:52","2024-07-05 02:37:36"
"ยังไม่เข้า","520004086675","B02676","สาขา เทศบาลนิมิตรเหนือ","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004086676","B02678","สาขา ชุมชนวัดเสนาส","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ตรงแผน","520004086678","B02679","สาขา นิรันดร์เรสซิเดนท์จุด 3 (ยงเจริญ)","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-09 01:33:13","2024-07-09 02:04:04"
"ยังไม่เข้า","520004086682","B02696","สาขา มาบยายเลีย ซอย6","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004086683","B02712","สาขา เจริญนคร 9","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086686","B02722","สาขา จอมเทียน ซอย 5","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086692","B02746","สาขา วังน้ำเย็น","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086695","B02749","สาขา ชุมชนวัดโคกมะยม","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ตรงแผน","520004086699","B02755","สาขา สวนอุตสาหกรรมโรจนะ 2","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-09 13:36:21","2024-07-09 14:44:36"
"ยังไม่เข้า","520004086701","B02760","สาขา เคหะชุมชนเพชรบูรณ์","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ตรงแผน","520004086702","B02771","สาขา แยก รพ.เมืองสมุทร","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-02 02:10:14","2024-07-02 02:30:23"
"ยังไม่เข้า","520004086703","B02774","สาขา โรงพยาบาลเปาโล","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ตรงแผน","520004086704","B02778","สาขา ถนนวิจิตร","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","2024-07-07 17:14:41","2024-07-07 18:44:59"
"ตรงแผน","520004086705","B02782","สาขา PTTOR ทุ่งกวาว","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-05 15:58:47","2024-07-05 16:20:32"
"ตรงแผน","520004086707","B02798","สาขา มหาราช 2","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-05 15:45:56","2024-07-05 17:06:21"
"ตรงแผน","520004086709","B02806","สาขา สราญรมย์","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-06 23:27:18","2024-07-07 00:06:34"
"ยังไม่เข้า","520004086710","B02808","สาขา ซอยคุณหญิงเลี่ยม","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086711","B02811","สาขา พระอินทร์หัตถกิจ","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086712","B02812","สาขา ตลาดเหนือ","RN","RN6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086714","B02816","สาขา โรงพยาบาลกรุงเทพพัทยา","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086718","B02829","สาขา หน้า ม.ราชภัฎโคราช","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086719","B02842","สาขา สุขุมวิทพัทยาซอย 21","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
